id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10295053,"83,730.62500011",2025-04-13 10:35:14.657259,Bitcoin,83730.625000109400000000,BTC
10294951,"83,740.89499990",2025-04-13 10:34:49.641853,Bitcoin,83740.894999902000000000,BTC
10294889,"83,711.27499980",2025-04-13 10:34:34.636459,Bitcoin,83711.274999797100000000,BTC
10294826,"83,720.37499973",2025-04-13 10:34:19.627206,Bitcoin,83720.374999732100000000,BTC
10294670,"83,741.59500005",2025-04-13 10:33:49.639681,Bitcoin,83741.595000051200000000,BTC
10294589,"83,771.93499993",2025-04-13 10:33:34.649761,Bitcoin,83771.934999925400000000,BTC
10294479,"83,768.14499967",2025-04-13 10:33:29.668553,Bitcoin,83768.144999668800000000,BTC
10294409,"83,738.20499979",2025-04-13 10:33:14.652180,Bitcoin,83738.204999794300000000,BTC
10294340,"83,691.80500033",2025-04-13 10:33:09.643567,Bitcoin,83691.805000329100000000,BTC
10294271,"83,738.20499979",2025-04-13 10:33:04.645302,Bitcoin,83738.204999794300000000,BTC
10294182,"83,691.80500033",2025-04-13 10:32:54.656685,Bitcoin,83691.805000329100000000,BTC
10294050,"83,756.08500006",2025-04-13 10:32:39.692476,Bitcoin,83756.085000058400000000,BTC
10293961,"83,907.00500000",2025-04-13 10:32:24.651872,Bitcoin,83907.005000001900000000,BTC
10293907,"83,873.11499995",2025-04-13 10:32:04.655620,Bitcoin,83873.114999954800000000,BTC
10293851,"83,861.43499972",2025-04-13 10:31:49.674966,Bitcoin,83861.434999719200000000,BTC
10293729,"83,840.81500031",2025-04-13 10:31:34.755309,Bitcoin,83840.815000314900000000,BTC
10293672,"83,850.02999973",2025-04-13 10:31:19.643771,Bitcoin,83850.029999731300000000,BTC
10293602,"83,843.94499998",2025-04-13 10:31:04.665394,Bitcoin,83843.944999983300000000,BTC
10293535,"83,809.95499990",2025-04-13 10:30:44.655926,Bitcoin,83809.954999897100000000,BTC
10293467,"83,768.80000005",2025-04-13 10:30:29.665887,Bitcoin,83768.800000048100000000,BTC
10293416,"83,778.70500006",2025-04-13 10:30:14.641186,Bitcoin,83778.705000060600000000,BTC
10293356,"83,774.90500033",2025-04-13 10:30:04.643331,Bitcoin,83774.905000328000000000,BTC
10293294,"83,779.83500026",2025-04-13 10:29:49.655801,Bitcoin,83779.835000255500000000,BTC
10293207,"83,779.28500009",2025-04-13 10:29:29.735269,Bitcoin,83779.285000092300000000,BTC
10293162,"83,812.18500016",2025-04-13 10:29:09.642069,Bitcoin,83812.185000165000000000,BTC
