Date,Price,Open,High,Low,Vol.,Change %
2015-12-08,17568.0,17703.99,17703.99,17485.39,113.72,-0.92
2015-12-09,17492.3,17558.18,17767.69,17403.51,122.02,-0.43
2015-12-10,17574.75,17493.17,17697.74,17474.66,107.31,0.47
2015-12-11,17265.21,17574.75,17574.75,17230.5,134.51,-1.76
2015-12-14,17368.5,17277.11,17378.02,17138.47,142.54,0.6
2015-12-15,17524.91,17374.78,17627.63,17341.18,123.43,0.9
2015-12-16,17749.09,17530.85,17784.36,17483.68,123.79,1.28
2015-12-17,17495.84,17756.54,17796.76,17493.5,115.78,-1.43
2015-12-18,17128.55,17495.04,17496.58,17124.31,344.56,-2.1
2015-12-21,17251.62,17154.94,17272.36,17116.73,114.91,0.72
2015-12-22,17417.27,17253.55,17451.11,17242.86,91.57,0.96
2015-12-23,17602.61,17427.63,17607.92,17427.63,92.82,1.06
2015-12-24,17552.17,17593.26,17606.34,17543.95,40.35,-0.29
2015-12-28,17528.27,17535.66,17536.9,17437.34,59.77,-0.14
2015-12-29,17720.98,17547.37,17750.02,17547.37,69.86,1.1
2015-12-30,17603.87,17711.94,17714.13,17588.87,59.76,-0.66
2015-12-31,17425.03,17590.66,17590.66,17421.16,93.69,-1.02
2016-01-04,17148.94,17405.48,17405.48,16957.63,148.06,-1.58
2016-01-05,17158.66,17147.5,17195.84,17038.61,105.75,0.06
2016-01-06,16906.51,17154.83,17154.83,16817.62,120.25,-1.47
2016-01-07,16514.1,16888.36,16888.36,16463.63,176.24,-2.32
2016-01-08,16346.45,16519.17,16651.89,16314.57,141.85,-1.02
2016-01-11,16398.57,16358.71,16461.85,16232.03,127.8,0.32
2016-01-12,16516.22,16419.11,16591.35,16322.07,117.48,0.72
2016-01-13,16151.41,16526.63,16593.51,16123.2,153.52,-2.21
2016-01-14,16379.05,16159.01,16482.05,16075.12,158.82,1.41
2016-01-15,15988.08,16354.33,16354.33,15842.11,239.22,-2.39
2016-01-19,16016.02,16009.45,16171.96,15900.25,144.36,0.17
2016-01-20,15766.74,15989.45,15989.45,15450.56,191.87,-1.56
2016-01-21,15882.68,15768.87,16038.59,15704.66,145.14,0.74
2016-01-22,16093.51,15921.1,16136.79,15921.1,145.86,1.33
2016-01-25,15885.22,16086.46,16086.46,15880.15,123.25,-1.29
2016-01-26,16167.23,15893.16,16185.79,15893.16,118.21,1.78
2016-01-27,15944.46,16168.74,16235.03,15878.3,138.35,-1.38
2016-01-28,16069.64,15960.28,16102.14,15863.72,130.12,0.79
2016-01-29,16466.3,16090.26,16466.3,16090.26,217.94,2.47
2016-02-01,16449.18,16453.63,16510.98,16299.47,114.45,-0.1
2016-02-02,16153.54,16420.21,16420.21,16108.44,126.21,-1.8
2016-02-03,16336.66,16186.2,16381.69,15960.45,141.87,1.13
2016-02-04,16416.58,16329.67,16485.84,16266.16,131.49,0.49
2016-02-05,16204.97,16417.95,16423.63,16129.81,139.01,-1.29
2016-02-08,16027.05,16147.51,16147.51,15803.55,165.88,-1.1
2016-02-09,16014.38,16005.41,16136.62,15881.11,127.74,-0.08
2016-02-10,15914.74,16035.61,16201.89,15899.91,122.29,-0.62
2016-02-11,15660.18,15897.82,15897.82,15503.01,172.07,-1.6
2016-02-12,15973.84,15691.62,15974.04,15691.62,132.55,2.0
2016-02-16,16196.41,16012.39,16196.41,16012.39,142.03,1.39
2016-02-17,16453.83,16217.98,16486.12,16217.98,124.09,1.59
2016-02-18,16413.43,16483.76,16511.84,16390.43,104.95,-0.25
2016-02-19,16391.99,16410.96,16410.96,16278.0,134.34,-0.13
2016-02-22,16620.66,16417.13,16664.24,16417.13,102.24,1.4
2016-02-23,16431.78,16610.39,16610.39,16403.53,98.17,-1.14
2016-02-24,16484.99,16418.84,16507.39,16165.86,93.62,0.32
2016-02-25,16697.29,16504.38,16697.98,16458.42,94.12,1.29
2016-02-26,16639.97,16712.7,16795.98,16623.91,98.48,-0.34
2016-02-29,16516.5,16634.15,16726.12,16510.4,126.22,-0.74
2016-03-01,16865.08,16545.67,16865.56,16545.67,105.05,2.11
2016-03-02,16899.32,16851.17,16900.17,16766.32,104.47,0.2
2016-03-03,16943.9,16896.17,16944.31,16820.73,91.11,0.26
2016-03-04,17006.77,16945.0,17062.38,16898.84,106.91,0.37
2016-03-07,17073.95,16991.29,17099.25,16940.48,100.29,0.4
2016-03-08,16964.1,17050.67,17072.79,16921.51,108.38,-0.64
2016-03-09,17000.36,16969.17,17048.5,16947.94,116.69,0.21
2016-03-10,16995.13,17006.05,17130.11,16821.86,117.57,-0.03
2016-03-11,17213.31,17014.99,17220.09,17014.99,123.43,1.28
2016-03-14,17229.13,17207.49,17275.07,17161.16,96.35,0.09
2016-03-15,17251.53,17217.15,17251.7,17120.35,92.83,0.13
2016-03-16,17325.76,17249.34,17379.18,17204.07,118.71,0.43
2016-03-17,17481.49,17321.38,17529.01,17297.65,117.99,0.9
2016-03-18,17602.3,17481.49,17620.58,17481.49,321.23,0.69
2016-03-21,17623.87,17589.7,17644.97,17551.28,84.41,0.12
2016-03-22,17582.57,17602.71,17648.94,17540.42,95.45,-0.23
2016-03-23,17502.59,17588.81,17588.81,17486.27,84.24,-0.45
2016-03-24,17515.73,17485.33,17517.14,17399.01,84.1,0.08
2016-03-28,17535.39,17526.08,17583.81,17493.03,70.46,0.11
2016-03-29,17633.11,17512.58,17642.81,17434.27,86.16,0.56
2016-03-30,17716.66,17652.36,17790.11,17652.36,79.33,0.47
2016-03-31,17685.09,17716.05,17755.7,17669.72,102.6,-0.18
2016-04-01,17792.75,17661.74,17811.48,17568.02,104.89,0.61
2016-04-04,17737.0,17799.39,17806.38,17710.67,85.23,-0.31
